date                ,no ,x and y      ,xend and yend
22:26:03 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:03 Sun-21-Jul,2,"(253, 237)","(480, 222)"
22:26:05 Sun-21-Jul,1,"(4, 152)","(143, 137)"
22:26:05 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:05 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:05 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:05 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:05 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:06 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:06 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:06 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:06 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:26:06 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:06 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:06 Sun-21-Jul,1,"(4, 153)","(143, 138)"
22:26:06 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:06 Sun-21-Jul,1,"(4, 152)","(143, 137)"
22:26:06 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:07 Sun-21-Jul,1,"(4, 153)","(143, 138)"
22:26:07 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:07 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:07 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:07 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:07 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:07 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:07 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:07 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:07 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:08 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:08 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:08 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:08 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:08 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:08 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:08 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:08 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:08 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:08 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:09 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:09 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:26:09 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:09 Sun-21-Jul,2,"(251, 237)","(481, 222)"
22:26:09 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:09 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:09 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:09 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:10 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:10 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:10 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:10 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:10 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:26:10 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:10 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:10 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:10 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:10 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:11 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:11 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:11 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:11 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:11 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:11 Sun-21-Jul,2,"(252, 236)","(480, 221)"
22:26:11 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:11 Sun-21-Jul,2,"(252, 236)","(480, 221)"
22:26:12 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:12 Sun-21-Jul,2,"(252, 236)","(480, 221)"
22:26:12 Sun-21-Jul,1,"(4, 153)","(143, 138)"
22:26:12 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:26:12 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:26:12 Sun-21-Jul,2,"(251, 236)","(480, 221)"
22:26:12 Sun-21-Jul,1,"(0, 153)","(145, 138)"
22:26:12 Sun-21-Jul,2,"(251, 237)","(481, 222)"
22:26:12 Sun-21-Jul,3,"(0, 210)","(66, 195)"
22:26:13 Sun-21-Jul,1,"(251, 237)","(481, 222)"
22:26:13 Sun-21-Jul,2,"(0, 153)","(145, 138)"
22:26:13 Sun-21-Jul,3,"(2, 230)","(77, 215)"
22:26:14 Sun-21-Jul,1,"(251, 237)","(481, 222)"
22:26:14 Sun-21-Jul,2,"(0, 153)","(145, 138)"
22:26:14 Sun-21-Jul,3,"(0, 231)","(93, 216)"
22:26:14 Sun-21-Jul,1,"(251, 237)","(480, 222)"
22:26:14 Sun-21-Jul,2,"(0, 152)","(144, 137)"
22:26:14 Sun-21-Jul,3,"(0, 216)","(113, 201)"
22:26:14 Sun-21-Jul,1,"(251, 237)","(480, 222)"
22:26:14 Sun-21-Jul,2,"(-2, 151)","(145, 136)"
22:26:14 Sun-21-Jul,3,"(1, 211)","(133, 196)"
22:26:14 Sun-21-Jul,1,"(251, 237)","(480, 222)"
22:26:14 Sun-21-Jul,2,"(-1, 149)","(143, 134)"
22:26:14 Sun-21-Jul,3,"(0, 208)","(145, 193)"
22:26:15 Sun-21-Jul,1,"(252, 237)","(480, 222)"
22:26:15 Sun-21-Jul,2,"(4, 210)","(163, 195)"
22:26:15 Sun-21-Jul,3,"(-2, 149)","(143, 134)"
22:26:15 Sun-21-Jul,1,"(0, 205)","(171, 190)"
22:26:15 Sun-21-Jul,2,"(-3, 150)","(142, 135)"
22:26:15 Sun-21-Jul,3,"(252, 237)","(480, 222)"
22:26:15 Sun-21-Jul,1,"(-5, 151)","(141, 136)"
22:26:15 Sun-21-Jul,2,"(2, 198)","(193, 183)"
22:26:15 Sun-21-Jul,3,"(253, 237)","(481, 222)"
22:26:15 Sun-21-Jul,1,"(1, 194)","(202, 179)"
22:26:15 Sun-21-Jul,2,"(253, 237)","(480, 222)"
22:26:15 Sun-21-Jul,3,"(-6, 151)","(146, 136)"
22:26:15 Sun-21-Jul,1,"(0, 197)","(220, 182)"
22:26:15 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:26:15 Sun-21-Jul,3,"(0, 150)","(152, 135)"
22:26:16 Sun-21-Jul,1,"(0, 197)","(220, 182)"
22:26:16 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:26:16 Sun-21-Jul,3,"(0, 150)","(152, 135)"
22:26:16 Sun-21-Jul,1,"(0, 197)","(229, 182)"
22:26:16 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:26:16 Sun-21-Jul,3,"(-10, 152)","(142, 137)"
22:26:16 Sun-21-Jul,1,"(0, 195)","(237, 180)"
22:26:16 Sun-21-Jul,2,"(252, 238)","(481, 223)"
22:26:16 Sun-21-Jul,3,"(-12, 151)","(143, 136)"
22:26:16 Sun-21-Jul,1,"(-2, 194)","(244, 179)"
22:26:16 Sun-21-Jul,2,"(250, 238)","(481, 223)"
22:26:16 Sun-21-Jul,3,"(8, 152)","(166, 137)"
22:26:16 Sun-21-Jul,1,"(0, 195)","(256, 180)"
22:26:16 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:26:16 Sun-21-Jul,3,"(3, 148)","(173, 133)"
22:26:17 Sun-21-Jul,1,"(9, 195)","(263, 180)"
22:26:17 Sun-21-Jul,2,"(1, 143)","(156, 128)"
22:26:17 Sun-21-Jul,3,"(252, 237)","(481, 222)"
22:26:17 Sun-21-Jul,1,"(27, 194)","(279, 179)"
22:26:17 Sun-21-Jul,2,"(2, 143)","(154, 128)"
22:26:17 Sun-21-Jul,3,"(255, 230)","(481, 215)"
22:26:38 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:38 Sun-21-Jul,2,"(253, 237)","(480, 222)"
22:26:39 Sun-21-Jul,1,"(4, 152)","(143, 137)"
22:26:39 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:40 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:40 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:40 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:26:40 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:40 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:40 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:26:40 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:26:40 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:26:40 Sun-21-Jul,1,"(4, 152)","(144, 137)"
