date                ,no ,x and y    ,xend and yend ,kosong ,car id ,jam dibuat ,jam isi  ,jam kosong
22:26:07 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:07,
22:26:07 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:07,
22:26:07 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:07,
22:26:07 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:07,
22:26:07 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:07,
22:26:08 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:08,
22:26:08 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:08,
22:26:08 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:08,
22:26:08 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:08,
22:26:08 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:08,
22:26:09 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:09,
22:26:09 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:09,
22:26:09 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:09,
22:26:09 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:10,
22:26:10 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:10,
22:26:10 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:10,
22:26:10 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:10,
22:26:10 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:10,
22:26:10 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:10,
22:26:11 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:11,
22:26:11 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:11,
22:26:11 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:11,
22:26:11 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:11
22:26:11 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:12,
22:26:11 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:12
22:26:12 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:12,
22:26:12 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:12
22:26:12 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:12,
22:26:12 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:12
22:26:12 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:12,
22:26:12 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:12
22:26:12 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,1,22:26:07,22:26:12,
22:26:12 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:12
22:26:13 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:14,
22:26:13 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:14
22:26:14 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:14,
22:26:14 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:14
22:26:14 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:14,
22:26:14 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:14
22:26:14 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:14,
22:26:14 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:14
22:26:14 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:15,
22:26:14 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:15
22:26:15 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,3,22:26:07,22:26:15,
22:26:15 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:15
